;course;daytime/evening attendance;previous qualification (grade);displaced;tuition fees up to date;scholarship holder;curricular units 1st sem (evaluations);curricular units 1st sem (grade);unemployment rate;inflation rate;gdp;target
0;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Medium;Medium;Medium;Dropout
1;Ciencias Sociales;Yes;Satisfactory;Yes;No;No;Very Low;Basic;High;Low;Medium;Graduate
2;Diseno;Yes;Basic;Yes;No;No;Very Low;Failure;Medium;Medium;Medium;Dropout
3;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Low;Very Low;Graduate
4;Ciencias Sociales;No;Low Failure;No;Yes;No;Low;Basic;High;Low;Medium;Graduate
5;Ciencias Exactas;No;Basic;No;Yes;No;Low;Low Failure;Superior;Low;Low;Graduate
6;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Superior;Medium;Very Low;Graduate
7;Ciencias Sociales;Yes;Basic;Yes;No;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
8;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Basic;Superior;Low;Low;Graduate
9;Ciencias Sociales;Yes;Basic;Yes;No;No;Low;Low Failure;Low;Medium;High;Dropout
10;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
11;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;High;High;Low;Graduate
12;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Failure;High;High;Low;Dropout
13;Ciencias Sociales;Yes;Low Failure;Yes;Yes;Yes;Very Low;Low Failure;Low;Medium;High;Graduate
14;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Medium;Medium;Medium;Graduate
15;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Superior;Medium;Very Low;Dropout
16;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Medium;Medium;Medium;Enrolled
17;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Superior;Medium;Very Low;Graduate
18;Ciencias Agrarias;Yes;Basic;Yes;Yes;No;Low;Basic;Medium;Medium;Medium;Graduate
19;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;Superior;Low;Low;Enrolled
20;Diseno;Yes;Basic;No;Yes;Yes;Very Low;Failure;Medium;Low;High;Graduate
21;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Low Failure;High;High;Low;Enrolled
22;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;High;High;Low;Graduate
23;Diseno;Yes;Basic;Yes;Yes;Yes;Low;Basic;Medium;Low;High;Graduate
24;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;Medium;Low;High;Graduate
25;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Low;Low Failure;Low;Medium;Medium;Enrolled
26;Ciencias Sociales;Yes;Low Failure;Yes;Yes;No;Low;Low Failure;Superior;Low;Low;Graduate
27;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Low;Very Low;Enrolled
28;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;Superior;Low;Low;Graduate
29;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Superior;Low;Low;Enrolled
30;Ciencias Agrarias;Yes;Basic;No;Yes;No;Low;Low Failure;Superior;Low;Low;Enrolled
31;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;High;Graduate
32;Ciencias Exactas;Yes;Basic;No;No;No;Low;Low Failure;Low;Medium;High;Enrolled
33;Ciencias Sociales;No;Basic;Yes;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
34;Ciencias Exactas;No;Basic;No;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
35;Ciencias Exactas;Yes;Basic;No;No;No;Very Low;Failure;Low;Medium;High;Dropout
36;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Very Low;Failure;Low;Medium;Medium;Dropout
37;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Failure;Superior;Low;Low;Dropout
38;Ciencias Exactas;No;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Graduate
39;Ciencias Agrarias;Yes;Basic;No;No;No;Low;Low Failure;High;Low;Medium;Dropout
40;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Basic;High;High;Low;Dropout
41;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;Low;Medium;High;Graduate
42;Ciencias de la Salud;Yes;Low Failure;Yes;Yes;No;Low;Basic;Medium;Low;High;Graduate
43;Ciencias Sociales;Yes;Basic;No;No;No;Very Low;Basic;High;Low;Medium;Dropout
44;Ciencias Exactas;No;Basic;No;Yes;No;Very Low;Failure;Superior;Low;Low;Dropout
45;Ciencias Exactas;No;Basic;No;Yes;No;Low;Low Failure;Low;Medium;Medium;Enrolled
46;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;Medium;Low;High;Graduate
47;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Medium;Low;High;Graduate
48;Ciencias Sociales;No;Basic;No;Yes;Yes;Very Low;Low Failure;High;Low;Medium;Graduate
49;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Basic;High;High;Low;Graduate
50;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Basic;High;Low;Medium;Graduate
